x,y
1.000000000000000000e+00,9.743807285546415642e+02
1.199999999999999956e+00,7.319371428571428169e+02
1.399999999999999911e+00,6.339968387776607415e+02
1.600000000000000089e+00,4.856641137855579586e+02
1.800000000000000044e+00,4.143350676378772164e+02
2.000000000000000000e+00,3.602502415458937435e+02
2.200000000000000178e+00,3.190730964467005037e+02
2.399999999999999911e+00,2.815077092511013461e+02
2.600000000000000089e+00,2.584745925215723901e+02
2.799999999999999822e+00,2.408471953578336695e+02
3.000000000000000000e+00,2.198623853211009305e+02
4.000000000000000000e+00,1.550079096045197673e+02
5.000000000000000000e+00,1.154412811387900319e+02
